id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
6,6.0,,,,,,0.001246,3.946458,55.0358,226.29,-12.84,0.0,12.31,8.607,M0V:,1.336,54.905296,0.017912,3.787796,2.2e-07,6.037e-05,-3.42e-06,0.0003262244926801,0.068878680311835,1.0970848777e-06,-6.2250076e-08,,,Psc,1,6,,0.0314195528464107,,12.462,12.162
18,18.0,,,,,,0.003522,-4.05368,44.8229,-127.22,23.78,0.0,11.03,7.773,K5,1.567,44.710745,0.041225,-3.168578,3.9e-07,-2.764e-05,5.15e-06,0.0009220561753115,-0.0707500682239362,-6.167799644e-07,1.15288693e-07,,,Psc,1,18,,0.0677329514008606,,11.088,10.948
47,47.0,,,,,,0.009006,-56.835602,40.7498,-44.21,-145.9,0.0,10.78,7.729,K3V,1.15,22.291838,0.052522,-34.111837,-2.411e-05,-8.79e-06,-1.577e-05,0.0023576745588784,-0.9919683912526412,-2.143361282e-07,-7.07343159e-07,,,Phe,1,47,,0.0705342414258096,,10.849,10.669
54,54.0,,,,,,0.01017,17.968908,50.2008,367.14,-19.49,0.0,10.57,7.066,M:,1.03,47.75204,0.127177,15.48699,1.23e-06,8.935e-05,-4.51e-06,0.0026624625182844,0.3136166142108725,1.7799449468e-06,-9.4490186e-08,,,Peg,1,54,,0.1298972628897854,,,
65,65.0,,,,,,0.012498,-54.830524,54.7046,-205.14,-75.34,0.0,11.0,7.31,,1.147,31.509513,0.102901,-44.718378,-1.615e-05,-5.445e-05,-1.151e-05,0.0032720837156374,-0.9569731670129776,-9.945467843e-07,-3.65258626e-07,,,Phe,1,65,,0.1037528415818012,,11.092,10.882
74,74.0,,,,,,0.014817,35.752624,44.5236,157.73,-40.31,0.0,9.93,6.687,K5,1.068,36.132732,0.140219,26.014553,4.95e-06,3.406e-05,-7.06e-06,0.0038791010954104,0.6240010070015525,7.646966183e-07,-1.95428394e-07,,,And,1,74,,0.1841619903524669,,9.998,9.888
96,96.0,,,,,,0.02033,13.975088,35.1494,20.59,139.82,0.0,10.46,7.73,M0,1.36,34.108524,0.181537,8.48858,-5.77e-06,3.48e-06,2.312e-05,0.0053222674524472,0.24391129933177,9.98231368e-08,6.77866488e-07,,,Peg,1,96,,0.0704693068967146,,10.732,10.382
111,111.0,,,,,,0.023314,34.281848,38.4911,258.31,-4.75,0.0,11.28,8.353,M2,1.308,31.80371,0.194195,21.680663,2.1e-07,4.82e-05,-7.3e-07,0.0061036728194096,0.5983311244993214,1.2523222182e-06,-2.3028649e-08,,,And,1,111,,0.0397008678112183,,11.343,11.193
112,112.0,,,GJ 1293,,,0.023843,-16.948446,32.1234,299.01,-255.05,8.0,10.76,8.226,M1.5V:,1.384,30.727669,0.191824,-9.364349,-4.04e-06,4.654e-05,-4.038e-05,0.0062420513621295,-0.2958061865263049,1.4496413862e-06,-1.236517292e-06,,,Cet,1,112,,0.0446272370762251,,,
144,143.0,,,,,,0.030374,21.462502,45.5373,177.97,150.19,0.0,10.35,7.058,K3,1.033,42.378277,0.337022,16.661744,-1.244e-05,3.919e-05,3.086e-05,0.0079519747004387,0.3745913342395774,8.628229073e-07,7.28141666e-07,,,Peg,1,144,,0.1308579161245099,,,
148,149.0,,,GJ 9848,,,0.031862,26.004049,45.5166,-309.64,-628.61,0.0,11.26,7.969,K3,0.932,40.907216,0.341175,19.956055,6.138e-05,-6.781e-05,-0.00012466,0.0083414927005458,0.4538562786113262,-1.5011770805e-06,-3.047587277e-06,,,Peg,1,148,,0.056545754068762,,11.319,11.189
169,169.0,224953.0,,GJ 1294A,,,0.035702,-68.280769,15.328,207.45,-231.8,0.0,9.24,8.313,M0V,1.39,5.67201,0.053101,-14.239841,-1.614e-05,1.526e-05,-6.37e-06,0.0093466762773277,-1.1917242392334713,1.0057459803e-06,-1.123798111e-06,,,Tuc,1,169,GJ 1294,0.0411907784867737,,,
191,191.0,,,,,,0.04085,-46.028896,38.373,192.39,-22.43,0.0,12.43,9.51,M3,1.49,26.640676,0.285018,-27.616666,-3.39e-06,3.575e-05,-2.9e-06,0.0106945864141001,-0.8033557815074449,9.3273304e-07,-1.08743708e-07,,,Phe,1,191,,0.0136772882559584,,12.633,12.253
